zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population
80203,STANDARD,0,Denver,,,CO,Denver County,America/Denver,303720,NA,US,39.73,-104.98,16240
80204,STANDARD,0,Denver,,,CO,Denver County,America/Denver,720303,NA,US,39.73,-105.02,27090
80205,STANDARD,0,Denver,,,CO,Denver County,America/Denver,720,NA,US,39.76,-104.96,27910
80206,STANDARD,0,Denver,,,CO,Denver County,America/Denver,303720,NA,US,39.73,-104.95,21930
80207,STANDARD,0,Denver,,,CO,Denver County,America/Denver,303720,NA,US,39.76,-104.92,19440
80208,UNIQUE,0,Denver,,University Of Denver,CO,Denver County,America/Denver,303,NA,US,39.76,-104.87,36
80209,STANDARD,0,Denver,,,CO,Denver County,America/Denver,303720,NA,US,39.71,-104.97,22710
80210,STANDARD,0,Denver,,,CO,Denver County,America/Denver,303720,NA,US,39.68,-104.96,30780
80211,STANDARD,0,Denver,,,CO,Denver County,America/Denver,303720,NA,US,39.77,-105.02,31770
80212,STANDARD,0,Denver,Wheat Ridge,Lakeside,CO,Denver County,America/Denver,303720,NA,US,39.77,-105.05,17520
80214,STANDARD,0,Denver,"Edgewater, Lakewood, Wheat Ridge",,CO,Jefferson County,America/Denver,303720,NA,US,39.74,-105.07,20800
80215,STANDARD,0,Denver,"Lakewood, Wheat Ridge",,CO,Jefferson County,America/Denver,303720,NA,US,39.74,-105.12,17730
80216,STANDARD,0,Denver,Commerce City,,CO,Denver County,America/Denver,303720,NA,US,39.79,-104.96,13210
80217,PO BOX,0,Denver,,,CO,Denver County,America/Denver,303,NA,US,39.76,-104.87,453
80218,STANDARD,0,Denver,,,CO,Denver County,America/Denver,303720,NA,US,39.73,-104.97,14860
80219,STANDARD,0,Denver,,,CO,Denver County,America/Denver,303720,NA,US,39.7,-105.04,56350
80220,STANDARD,0,Denver,,,CO,Denver County,America/Denver,720303,NA,US,39.73,-104.92,32830
80221,STANDARD,0,Denver,"Federal Heights, Federal Hgts, Thornton, Westminster",,CO,Adams County,America/Denver,303720,NA,US,39.82,-105.01,37070
80222,STANDARD,0,Denver,,,CO,Denver County,America/Denver,303720,NA,US,39.67,-104.93,18900
80223,STANDARD,0,Denver,,,CO,Denver County,America/Denver,303720,NA,US,39.7,-105,16900
80224,STANDARD,0,Denver,,,CO,Denver County,America/Denver,303720,NA,US,39.69,-104.91,16630
80225,PO BOX,0,Denver,Lakewood,Denver Federal Center,CO,Denver County,America/Denver,303,NA,US,39.76,-104.87,0
80226,STANDARD,0,Denver,Lakewood,,CO,Jefferson County,America/Denver,303720,NA,US,39.71,-105.09,28270
80227,STANDARD,0,Denver,Lakewood,,CO,Jefferson County,America/Denver,303720,NA,US,39.67,-105.09,32150
80228,STANDARD,0,Denver,Lakewood,,CO,Jefferson County,America/Denver,303720,NA,US,39.69,-105.17,32400
80229,STANDARD,0,Denver,Thornton,Welby,CO,Adams County,America/Denver,303720,NA,US,39.86,-104.96,49020
80230,STANDARD,0,Denver,"Lowry, Montclair",,CO,Denver County,America/Denver,720303,NA,US,39.72,-104.89,8600
80231,STANDARD,0,Denver,,,CO,Denver County,America/Denver,303720,NA,US,39.67,-104.89,29490
80232,STANDARD,0,Denver,Lakewood,,CO,Jefferson County,America/Denver,720303,NA,US,39.69,-105.09,20270
80233,STANDARD,0,Denver,"Northglenn, Thornton",North Glenn,CO,Adams County,America/Denver,720303,NA,US,39.9,-104.95,43410
80234,STANDARD,0,Denver,"North Glenn, Northglenn, Westminster",Federal Heights,CO,Adams County,America/Denver,303720,NA,US,39.91,-105,25970
80235,STANDARD,0,Denver,Lakewood,,CO,Jefferson County,America/Denver,303720,NA,US,39.65,-105.09,7110
80236,STANDARD,0,Denver,Lakewood,"Fort Logan, Ft Logan",CO,Denver County,America/Denver,303720,NA,US,39.65,-105.04,14260
80237,STANDARD,0,Denver,,,CO,Denver County,America/Denver,303720,NA,US,39.64,-104.9,20290
80238,STANDARD,0,Denver,Montbello,,CO,Denver County,America/Denver,303720,NA,US,39.76,-104.87,26670
80239,STANDARD,0,Denver,,,CO,Denver County,America/Denver,303720,NA,US,39.79,-104.84,43540
80241,STANDARD,0,Thornton,"Denver, Northglenn, Westminster",East Lake,CO,Adams County,America/Denver,303720,NA,US,39.93,-104.95,30120
80243,UNIQUE,0,Denver,,Co Dmv Dept Of Rev,CO,Denver County,America/Denver,303,NA,US,39.76,-104.87,0
80244,UNIQUE,0,Denver,,Us West Communications,CO,Denver County,America/Denver,303,NA,US,39.76,-104.87,0
80246,STANDARD,0,Denver,Glendale,,CO,Denver County,America/Denver,303,NA,US,39.71,-104.93,10960
80247,STANDARD,0,Denver,Aurora,,CO,Arapahoe County,America/Denver,303,NA,US,39.69,-104.88,23750
80248,PO BOX,0,Denver,,,CO,Denver County,America/Denver,303,NA,US,39.76,-104.87,53
80249,STANDARD,0,Denver,,,CO,Denver County,America/Denver,720,NA,US,39.85,-104.7,34820
80250,PO BOX,0,Denver,,,CO,Denver County,America/Denver,303,NA,US,39.76,-104.87,517
80251,UNIQUE,1,Denver,,National Farmers Union,CO,Denver County,America/Denver,303,NA,US,39.76,-104.87,0
80252,UNIQUE,1,Denver,,Bank Americard,CO,Denver County,America/Denver,303,NA,US,39.76,-104.87,0
80256,UNIQUE,0,Denver,,Us Bank,CO,Denver County,America/Denver,303,NA,US,39.76,-104.87,0
80257,UNIQUE,0,Denver,,Us Court Of Appeals 10th Cir,CO,Denver County,America/Denver,303,NA,US,39.76,-104.87,0
80259,UNIQUE,0,Denver,,Small Business Adm,CO,Denver County,America/Denver,303,NA,US,39.76,-104.87,0
80260,STANDARD,0,Denver,"Federal Heights, Federal Hgts, Northglenn, Thornton, Westminster",,CO,Adams County,America/Denver,303,NA,US,39.87,-105.01,31810
80261,UNIQUE,0,Denver,,Co Dept Of Revenue,CO,Denver County,America/Denver,303,NA,US,39.76,-104.87,16
80262,UNIQUE,1,Denver,,Univ Of Colorado Med Ctr,CO,Denver County,America/Denver,303,NA,US,39.76,-104.87,0
80263,UNIQUE,0,Denver,,Affiliated Banks Service Co,CO,Denver County,America/Denver,303,NA,US,39.76,-104.87,0
80264,STANDARD,0,Denver,,,CO,Denver County,America/Denver,303720,NA,US,39.74,-104.99,0
80265,STANDARD,0,Denver,,,CO,Denver County,America/Denver,720303,NA,US,39.76,-104.87,19
80266,STANDARD,0,Denver,,,CO,Denver County,America/Denver,303,NA,US,39.76,-104.87,0
80271,UNIQUE,0,Denver,,Wells Fargo Bank,CO,Denver County,America/Denver,303,NA,US,39.76,-104.87,0
80273,UNIQUE,0,Denver,,Blue Cross Blue Shield Of Co,CO,Denver County,America/Denver,303,NA,US,39.76,-104.87,0
80274,UNIQUE,0,Denver,,Wells Fargo Bank,CO,Denver County,America/Denver,303,NA,US,39.76,-104.87,45
80279,UNIQUE,1,Denver,,Af Acctg & Finance Ctr,CO,Denver County,America/Denver,303,NA,US,39.76,-104.87,85
80280,UNIQUE,1,Denver,,Af Reserve Pers Ctr,CO,Denver County,America/Denver,303,NA,US,39.76,-104.87,0
80281,UNIQUE,0,Denver,,Wells Fargo Bank,CO,Denver County,America/Denver,303,NA,US,39.76,-104.87,0
80290,STANDARD,0,Denver,,,CO,Denver County,America/Denver,303720,NA,US,39.74,-104.99,0
80291,UNIQUE,0,Denver,,Wells Fargo Bank,CO,Denver County,America/Denver,303,NA,US,39.76,-104.87,0
